"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (BRL)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-01-07,2026-01-07,"[CAMPEÕES CR05]",active,69,actions:onsite_conversion.messaging_conversation_started_7d,1.42782609,"Using campaign budget",0,98.52,4063,3498,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T19:48:05-0300,"Above average",Average,"Above average",[INSTAGRAM]
2026-01-07,2026-01-07,"[CAMPEÕES CR01]",active,29,actions:onsite_conversion.messaging_conversation_started_7d,1.74241379,"Using campaign budget",0,50.53,1721,1615,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T19:48:05-0300,"Above average",Average,"Above average",[INSTAGRAM]
2026-01-07,2026-01-07,"[CAMPEÕES CR08]",active,6,actions:onsite_conversion.messaging_conversation_started_7d,1.94333333,"Using campaign budget",0,11.66,373,328,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T19:48:05-0300,-,-,-,[INSTAGRAM]
2026-01-07,2026-01-07,"[TRABALHA +1 ANO]",active,5,actions:onsite_conversion.messaging_conversation_started_7d,0.812,"Using campaign budget",0,4.06,132,123,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T21:19:48-0300,-,-,-,"[CRIATIVOS ANTIGOS]"
2026-01-07,2026-01-07,"[CAIXA DE PERGUNTAS]",active,204,actions:onsite_conversion.messaging_conversation_started_7d,1.07980392,"Using campaign budget",0,220.28,9545,8286,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T21:19:48-0300,Average,"Above average","Above average","[CRIATIVOS ANTIGOS]"
2026-01-07,2026-01-07,"[CAMPEÕES CR01-A]",active,94,actions:onsite_conversion.messaging_conversation_started_7d,1.41393617,"Using campaign budget",0,132.91,5073,4593,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T20:36:30-0300,Average,Average,"Above average",[ABERTO]
2026-01-07,2026-01-07,"[CAMPEÕES CR05-A]",active,63,actions:onsite_conversion.messaging_conversation_started_7d,1.27539683,"Using campaign budget",0,80.35,2313,2145,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T20:36:30-0300,Average,Average,"Above average",[ABERTO]
2026-01-07,2026-01-07,"[CAMPEÕES CR08-A]",active,1,actions:onsite_conversion.messaging_conversation_started_7d,1.67,"Using campaign budget",0,1.67,7,7,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T20:36:30-0300,-,-,-,[ABERTO]
2026-01-07,2026-01-07,[CR13-A],active,1,actions:onsite_conversion.messaging_conversation_started_7d,0.07,"Using campaign budget",0,0.07,7,6,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-07,2026-01-07,[CR14-A],active,,,,"Using campaign budget",0,0.03,2,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-07,2026-01-07,[CR15-A],active,1,actions:onsite_conversion.messaging_conversation_started_7d,2.18,"Using campaign budget",0,2.18,41,39,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-07,2026-01-07,[CR16-A],active,,,,"Using campaign budget",0,0,0,0,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-07,2026-01-07,[CR17-A],active,135,actions:onsite_conversion.messaging_conversation_started_7d,1.33525926,"Using campaign budget",0,180.26,3376,3031,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,Average,Average,"Above average",[ABERTO]
2026-01-07,2026-01-07,[CR18-A],active,,,,"Using campaign budget",0,0,0,0,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-07,2026-01-07,[CR19-A],active,,,,"Using campaign budget",0,0,0,0,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-07,2026-01-07,[CR20-A],active,,,,"Using campaign budget",0,0,0,0,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-07,2026-01-07,[CR21-A],active,,,,"Using campaign budget",0,0,0,0,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
