"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (BRL)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-01-05,2026-01-05,"[CAMPEÕES CR05]",active,595,actions:onsite_conversion.messaging_conversation_started_7d,0.97852101,"Using campaign budget",0,582.22,30193,24269,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T19:48:05-0300,"Above average",Average,"Above average",[INSTAGRAM]
2026-01-05,2026-01-05,"[CAMPEÕES CR01]",active,53,actions:onsite_conversion.messaging_conversation_started_7d,1.09509434,"Using campaign budget",0,58.04,2130,2006,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T19:48:05-0300,Average,Average,"Above average",[INSTAGRAM]
2026-01-05,2026-01-05,"[CAMPEÕES CR08]",active,13,actions:onsite_conversion.messaging_conversation_started_7d,0.84230769,"Using campaign budget",0,10.95,307,291,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T19:48:05-0300,-,-,-,[INSTAGRAM]
2026-01-05,2026-01-05,"[TRABALHA +1 ANO]",active,24,actions:onsite_conversion.messaging_conversation_started_7d,0.83458333,"Using campaign budget",0,20.03,777,730,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T21:19:48-0300,Average,"Above average","Above average","[CRIATIVOS ANTIGOS]"
2026-01-05,2026-01-05,"[CAIXA DE PERGUNTAS]",active,840,actions:onsite_conversion.messaging_conversation_started_7d,0.84564286,"Using campaign budget",0,710.34,44744,38555,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T21:19:48-0300,Average,"Above average","Above average","[CRIATIVOS ANTIGOS]"
2026-01-05,2026-01-05,"[CAMPEÕES CR01-A]",active,728,actions:onsite_conversion.messaging_conversation_started_7d,1.00949176,"Using campaign budget",0,734.91,31942,25697,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T20:36:30-0300,Average,Average,"Above average",[ABERTO]
2026-01-05,2026-01-05,"[CAMPEÕES CR05-A]",active,,,,"Using campaign budget",0,0,0,0,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-26T20:36:30-0300,-,-,-,[ABERTO]
2026-01-05,2026-01-05,"[CAMPEÕES CR08-A]",active,,,,"Using campaign budget",0,0.56,12,12,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T20:36:30-0300,-,-,-,[ABERTO]
2026-01-05,2026-01-05,[CR13-A],active,98,actions:onsite_conversion.messaging_conversation_started_7d,1.31367347,"Using campaign budget",0,128.74,8069,7072,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,Average,Average,"Above average",[ABERTO]
2026-01-05,2026-01-05,[CR14-A],active,,,,"Using campaign budget",0,0.06,1,1,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-05,2026-01-05,[CR15-A],active,218,actions:onsite_conversion.messaging_conversation_started_7d,1.26123853,"Using campaign budget",0,274.95,7462,6699,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,Average,Average,"Above average",[ABERTO]
2026-01-05,2026-01-05,[CR16-A],active,,,,"Using campaign budget",0,0,0,0,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-05,2026-01-05,[CR17-A],active,286,actions:onsite_conversion.messaging_conversation_started_7d,1.01195804,"Using campaign budget",0,289.42,8461,7635,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,Average,Average,"Above average",[ABERTO]
2026-01-05,2026-01-05,[CR18-A],active,,,,"Using campaign budget",0,0,0,0,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-05,2026-01-05,[CR19-A],active,2,actions:onsite_conversion.messaging_conversation_started_7d,1.03,"Using campaign budget",0,2.06,132,122,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-05,2026-01-05,[CR20-A],active,,,,"Using campaign budget",0,0,0,0,Ongoing,-,0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
2026-01-05,2026-01-05,[CR21-A],active,4,actions:onsite_conversion.messaging_conversation_started_7d,2.145,"Using campaign budget",0,8.58,588,542,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2025-12-26T23:30:28-0300,-,-,-,[ABERTO]
